"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-09-02,48253.27010115,45269.0257658,46344.77223734,46188.45127539,860.97813542144,45.9109463818
"Bitcoin","BTC",2017-09-03,46716.43099302,43241.61822653,46194.01635186,45137.77046805,841.42897751457,53.44388745079
"Bitcoin","BTC",2017-09-04,49784.01528954,45115.09311478,45159.50305253,49631.24137077,925.23552788227,53.89130011216
"Bitcoin","BTC",2017-09-05,50127.50988383,47228.84534569,49612.10703748,48378.98805435,901.93368326916,47.53089772012
"Bitcoin","BTC",2017-09-06,52535.1357839,48274.32049678,48415.8149783,50538.24341445,942.23657690451,53.22081197456
"Bitcoin","BTC",2017-09-07,51735.09105293,47656.92904603,50522.30503036,48561.1661539,905.41410480724,52.34381667973
"Bitcoin","BTC",2017-09-08,49396.43086209,46542.51494044,48527.03198074,48927.3045548,912.28506572002,48.62592888343
"Bitcoin","BTC",2017-09-09,49147.21821972,47257.5269076,48899.23078213,48912.38173056,912.0541660285,34.36356466053
"Bitcoin","BTC",2017-09-10,51384.36601025,48918.6802649,48918.6802649,51206.69295308,954.88095458464,43.13745937773
"Bitcoin","BTC",2017-09-11,52314.06880137,49506.05345768,51174.1169466,52246.52230995,974.32188362325,48.59742804817
"Bitcoin","BTC",2017-09-12,54824.11781138,51981.83131223,52272.96978194,54824.11781138,1022.43997286218,50.91222738488
"Bitcoin","BTC",2017-09-13,57258.25497592,53290.89116852,54824.01119917,56008.54940114,1044.5800574774,57.29557761375
"Bitcoin","BTC",2017-09-14,58091.0627026,54484.59308946,55963.18008858,57805.12301924,1078.13560411797,56.77234359484
"Bitcoin","BTC",2017-09-15,57996.61948977,55376.6500885,57821.21874746,57332.08896391,1069.36632184362,55.68994470229
"Bitcoin","BTC",2017-09-16,61683.86401412,56217.97238151,57343.37024739,61243.08476552,1142.36915866694,60.66982981423
"Bitcoin","BTC",2017-09-17,61597.91839583,59302.31697742,61221.13429704,59302.31697742,1106.22613252459,43.90122556385
"Bitcoin","BTC",2017-09-18,60540.99271158,55393.16536281,59267.4290492,55907.20022619,1042.94602485964,66.41936988968
"Bitcoin","BTC",2017-09-19,56833.17978025,53555.02773503,55840.78651437,56804.90123161,1059.74581842303,59.74979859867
"Bitcoin","BTC",2017-09-20,58969.81634559,54528.62716687,56825.82889756,58870.89333325,1098.33765532654,60.25831319117
"Bitcoin","BTC",2017-09-21,60116.24964434,54253.58000473,58893.078058,57858.92070527,1079.51108688433,55.74604100038
"Bitcoin","BTC",2017-09-22,59498.37646021,56643.70148588,57850.44063985,58346.65297359,1088.66645074646,49.0638737855
"Bitcoin","BTC",2017-09-23,60031.2869743,58213.29736375,58332.26220538,58313.64260857,1088.10522197752,50.36173122171
"Bitcoin","BTC",2017-09-24,58767.89678899,56005.61700987,58309.91303265,57523.42098673,1073.41723540843,51.94341453937
"Bitcoin","BTC",2017-09-25,58471.47864713,54288.1580282,57517.89148833,54529.14561107,1017.59526911706,56.52145497429
"Bitcoin","BTC",2017-09-26,55985.44014058,53470.6933802,54511.66203198,54738.94493032,1021.56347968218,56.43502391375
"Bitcoin","BTC",2017-09-27,57262.38293272,52514.33339864,54710.48908407,52774.26369049,984.94814289789,70.56722378651
"Bitcoin","BTC",2017-09-28,53392.38600133,50856.5686854,52726.7455686,51704.1619252,965.0287626657,67.99981284102
